Sample Number,Date event 1,Tap Stand ID,Time event 1,FRC (mg/l),TRC (mg/l),Temp (Cent) ,Container,Cont.Colour,Cont.Opacity,Cont.Covered,Cont.Clean,HH Ident,Same Cont.,Same Water,How full (%),Method Drawing,Cont.type,Cont.colour,Cont.opacity,Cont.covered,Cont.Clean,Cont.outside,Date event 2,Time vent 2,FRC (mg/l),TRC (mg/l),Temp (Cent),Time Substract,Time Elapsed,FRC (Tap-HH),TRC (Tap-HH)
36,09-Sep-16,70,15:56,1.19,1.3,30,Bucket,White,Opaque,Yes,No,7T/8/001,Yes,Yes,80,Dip Glass,Bucket,White,Opaque,Yes,No,No,10-Sep-16,9:26,0.94,0.94,30,17:30:00,17.5,0.25,0.36
37,09-Sep-16,69,16:14,1.11,1.12,30,Bucket,Blue,Opaque,No,No,7T/6/004,Yes,Yes,60,Dip Glass,Bucket,Blue,Opaque,No,No,No,10-Sep-16,9:55,0.39,0.45,30,17:41:00,17.68333333,0.72,0.67
38,09-Sep-16,69,16:28,1.11,1.72,30,Bucket,Red,Opaque,Yes,No,7T/6/002,Yes,Yes,30,Dip Glass,Bucket,Red,Opaque,Yes,No,Yes,10-Sep-16,9:41,0.1,0.14,30,17:13:00,17.51666667,1.01,1.58
39,09-Sep-16,69,16:37,1.15,1.2,30,Bucket,Blue,Opaque,No,Yes,7T/2/002,No,No,18,Dip Glass,Bucket,Blue,Opaque,No,No,No,10-Sep-16,9:31,1.12,1.26,30,16:54:00,16.9,0.03,-0.06
40,09-Sep-16,68,16:48,1.13,1.28,30,Bucket,White,Opaque,Yes,Yes,7V/5/001,Yes,Yes,100,Dip Glass,Bucket,,Opaque,Yes,Yes,No,10-Sep-16,10:12,0.93,0.91,30,17:24:00,17.4,0.2,0.37
41,09-Sep-16,68,16:57,0.99,1.02,30,Bucket,Green,Opaque,Yes,Yes,7V/5/008,Yes,Yes,10,Dip Glass,Bucket,Green,Opaque,Yes,Yes,No,10-Sep-16,10:19,0.77,1,30,17:22:00,17.36666667,0.22,0.02
42,09-Sep-16,68,17:00,1.02,1.1,30,Jerry can,White,Translucent,No,Yes,7V/7/005,Yes,Yes,99,Pour out,Jerry Can,White,Translucent,No,Yes,No,10-Sep-16,10:05,0.97,1.09,30,17:05:00,17.08333333,0.05,0.01
43,10-Sep-26,121,10:42,0.84,0.89,30,Jerry can,White,Translucent,Yes,Yes,ET/7A/004,No,No,60,Pour out,Jerry Can,White,Translucent,No,Yes,No,11-Sep-16,10:41,0.35,0.45,30,23:59:00,23.98333333,0.49,0.44
44,10-Sep-16,121,10:58,0.96,0.99,30,Jerry can,White,Translucent,No,Yes,7Q/9/003,Yes,Yes,20,Pour out,Jerry Can,White,Translucent,No,Yes,No,11-Sep-16,10:25,0.76,0.91,30,23:27:00,23.45,0.2,0.08
45,10-Sep-16,121,11:06,0.94,0.97,30,Bucket,Red,Opaque,Yes,Yes,ET/7A/001,Yes,Yes,70,Dip Glass,Bucket,Red,Opaque,Yes,Yes,No,11-Sep-16,10:32,0.73,0.74,30,23:26:00,23.43333333,0.21,0.23
46,10-Sep-16,118,11:18,0.69,0.74,30,Jerry can,White,Translucent,Yes,No,7R/1/002,Yes,Yes,40,Pour out,Jerry Can,White,Translucent,Yes,No,No,11-Sep-16,10:12,0.82,0.85,30,22:54:00,22.9,-0.13,-0.11
47,10-Sep-16,118,11:20,0.77,0.78,30,Bucket,Green,Opaque,Yes,No,7W/7/003,Yes,Yes,90,Dip Glass,Bucket,Green,Opaque,Yes,No,No,11-Sep-16,10:01,0.44,0.47,30,22:41:00,22.68333333,0.33,0.31
48,10-Sep-16,118,11:25,0.82,0.85,30,Jerry can,White,Translucent,Yes,Yes,7W/8/004,Yes,Yes,10,Pour out,Jerry Can,White,Translucent,Yes,No,No,11-Sep-16,9:53,0.64,0.65,30,22:28:00,22.46666667,0.18,0.2
49,10-Sep-16,116,15:50,0.99,1.01,30,Jerry can,White,Translucent,Yes,Yes,7W/5/006,Yes,Yes,15,Pour out,Jerry Can,White,Translucent,Yes,Yes,No,11-Sep-16,9:30,0.81,1.18,30,17:40:00,17.66666667,0.18,-0.17
50,10-Sep-16,116,16:01,0.99,1.23,30,Bucket,Green,Opaque,Yes,Yes,7W/5/007,Yes,Yes,40,Dip Glass,Bucket,Green,Opaque,Yes,Yes,No,11-Sep-16,9:25,0.73,0.74,30,17:24:00,17.4,0.26,0.49
51,10-Sep-16,116,16:09,0.98,1.65,30,Jerry can,White,Translucent,No,No,7F/6/001,No,No,95,Pour out,Jerry Can,White,Translucent,Yes,Yes,Yes,11-Sep-16,9:10,0.95,0.9,30,17:01:00,17.01666667,0.03,0.75
52,13-Sep-16,5,11:26,0.65,0.66,28,Jerry can,Yello,Opaque,No,No,12BTP/6/004,Yes,Yes,15,Pour out,Jerry Can,Yellow,Opaque,No,No,No,14-Sep-16,9:03,0.37,0.76,31,21:37:00,21.61666667,0.28,-0.1
53,13-Sep-16,5,11:20,0.65,0.66,28,Jerry can,Yello,Translucent,No,No,12ETP/1//004,Yes,Yes,15,Pour out,Jerry Can,Yellow,Translucent,No,No,No,14-Sep-16,8:42,0.04,0.11,31,21:22:00,21.36666667,0.61,0.55
54,13-Sep-16,5,11:38,0.66,0.73,28,Bucket,Blue,Opaque,No,No,12ETP/8/005,Yes,Yes,90,Dip Glass,Bucket,Blue,Opaque,No,No,No,14-Sep-16,8:57,0.03,0.14,31,21:19:00,21.31666667,0.63,0.59
55,13-Sep-16,6,9:14,0.75,0.73,28,Jerry can,White,Translucent,No,Yes,13ETP/8/008,Yes,Yes,95,Pour out,Jerry Can,White,Translucent,No,Yes,No,14-Sep-16,9:19,0.63,0.69,31,0:05:00,24.08333333,0.12,0.04
56,13-Sep-16,6,9:00,0.71,0.76,28,Jerry can,White,Translucent,Yes,No,6ETP/6/005,Yes,Yes,80,Pour out,Jerry Can,White,Translucent,Yes,No,No,14-Sep-16,9:29,0.56,0.66,31,0:29:00,24.48333333,0.15,0.1
57,13-Sep-16,6,9:26,0.72,0.72,28,Bucket,Red,Translucent,No,No,13ETP/4/005,Yes,Yes,30,Dip Glass,Bucket,Red,Translucent,No,No,No,14-Sep-16,9:41,0.01,0.04,31,0:15:00,24.25,0.71,0.68
58,13-Sep-16,7,10:06,0.72,0.74,28,Bucket,Blue,Opaque,Yes,Yes,ET/14ETP/&/004,No,No,98,Pour out,Jerry Can,White,Translucent,No,Yes,No,14-Sep-16,9:58,0.21,0.34,31,23:52:00,23.86666667,0.51,0.4
59,13-Sep-16,7,9:49,0.73,0.74,28,Jerry can,White,Translucent,Yes,Yes,16ETP/5/008,Yes,Yes,20,Pour out,Jerry Can,White,Translucent,Yes,Yes,No,14-Sep-16,10:07,0.61,0.7,31,0:18:00,24.3,0.12,0.04
60,13-Sep-16,7,10:16,0.66,0.8,28,Jerry can,White,Translucent,Yes,No,20ETP/3/002,Yes,Yes,90,Pour out,Jerry Can,White,Translucent,Yes,Yes,No,14-Sep-16,10:18,0.57,0.97,31,0:02:00,24.03333333,0.09,-0.17
61,13-Sep-16,8,10:32,0.75,0.79,28,Jerry can,Yello,Opaque,Yes,Yes,19ETP/1/002,,,100,,,,,,,,,,,,31,,,0.75,0.79
62,13-Sep-16,8,10:47,0.67,0.72,28,Bucket,Green,Opaque,No,Yes,19ETP/2/004,No,No,100,Dip Glass,Bucket,Blue,Opaque,No,No,No,14-Sep-16,10:33,0.01,0.04,31,23:46:00,23.76666667,0.66,0.68
63,13-Sep-16,8,10:51,0.75,0.78,28,Jerry can,White,Translucent,Yes,Yes,ET/17/ETP/1/007,Yes,Yes,20,Pour out,Jerry Can,White,Translucent,Yes,No,No,14-Sep-16,10:46,0.48,0.49,31,23:55:00,23.91666667,0.27,0.29
64,13-Sep-16,12A,15:41,0.81,0.82,28,Jerry can,White,Translucent,Yes,No,18ETP/1/003,Yes,Yes,30,Pour out,Jerry Can,White,Translucent,Yes,No,No,14-Sep-16,11:00,0.62,0.68,31,19:19:00,19.31666667,0.19,0.14
65,13-Sep-16,12A,15:54,0.77,0.79,28,Jerry can,Yello,Opaque,No,Yes,18ETP/6/007,Yes,Yes,98,Pour out,Jerry Can,Yellow,Opaque,No,No,No,14-Sep-16,11:14,0.77,0.82,31,19:20:00,19.33333333,0,-0.03
